"C:\Users\enric\OneDrive\Área de Trabalho\Python\venv\Scripts\python.exe" "C:/Users/enric/OneDrive/Área de Trabalho/Python/Wordle.py"
sleep 3
sleet 2
slept 2
slice 3
slick 3
slide 3
slime 3
slimy 3
sling 4
slink 4
sloop 3
slope 3
slosh 3
sloth 2
slump 3
slung 3
slunk 3
slurp 4
slush 4
slyly 4
smack 3
small 3
smart 3
smash 3
smear 3
smell 3
smelt 3
smile 3
smirk 4
smite 3
smith 3
smock 4
smoke 4
smoky 3
smote 3
snack 4
snail 4
snake 3
snaky 4
snare 4
snarl 4
sneak 4
sneer 4
snide 4
sniff 3
snipe 3
snoop 3
snore 3
snort 3
snout 3
snowy 4
snuck 3
snuff 4
soapy 4
sober 4
soggy 3
solar 2
solid 3
solve 2
sonar 3
sonic 4
sooth 3
sooty 4
sorry 3
sound 3
south 4
sower 3
space 3
spade 4
spank 3
spare 3
spark 3
spasm 3
spawn 4
speak 4
spear 3
speck 3
speed 3
spell 3
spelt 3
spend 3
spent 3
sperm 3
spice 3
spicy 3
spied 3
spiel 3
spike 4
spiky 4
spill 3
spilt 2
spine 4
spiny 3
spire 3
spite 3
splat 2
split 2
spoil 3
spoke 4
spoof 4
spook 3
spool 4
spoon 4
spore 3
sport 4
spout 3
spray 3
spree 4
sprig 3
spunk 3
spurn 3
spurt 3
squad 3
squat 3
squib 4
stack 3
staff 3
stage 3
staid 3
stain 3
stair 3
stake 3
stale 3
stalk 2
stall 3
stamp 3
stand 3
stank 3
stare 3
stark 3
start 3
stash 4
state 3
stave 4
stead 3
steak 3
steal 3
steam 4
steed 3
steel 2
steep 3
steer 3
stein 3
stern 3
stick 3
stiff 4
still 3
stilt 3
sting 3
stink 4
stint 3
stock 4
stoic 3
stoke 3
stole 2
stomp 3
stone 3
stony 3
stood 3
stool 3
stoop 4
store 3
stork 3
storm 3
story 4
stout 4
stove 4
strap 3
straw 3
stray 4
strip 3
strut 3
stuck 4
study 4
stuff 4
stump 3
stung 3
stunk 4
stunt 3
style 3
suave 4
sugar 4
suing 3
suite 4
sulky 3
sully 3
sumac 3
sunny 4
super 4
surer 4
surge 4
surly 3
